GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MiProyectoSwing,logica,PasswordManager,18,31,0,0,5,8,2,2,2,2
MiProyectoSwing,logica,Sistema,143,1348,30,112,29,306,34,106,7,62
MiProyectoSwing,logica,Aerolinea,32,238,16,22,2,60,17,16,1,13
MiProyectoSwing,logica,Paquete,77,104,9,5,19,26,10,13,5,11
MiProyectoSwing,logica,RutaVuelo,106,258,20,12,13,64,17,34,2,33
MiProyectoSwing,logica,RutaVuelo.EstadoRuta,0,21,0,0,0,4,0,1,0,1
MiProyectoSwing,logica,Vuelo,21,260,3,9,2,65,5,22,2,19
MiProyectoSwing,logica,Cliente,38,237,2,24,7,67,7,27,5,16
MiProyectoSwing,logica,CompraPaqLogica,3,77,0,4,1,23,1,14,1,12
MiProyectoSwing,logica,Usuario,64,53,5,3,18,16,12,7,9,6
MiProyectoSwing,logica,ManejadorPaquete,63,366,13,25,16,96,10,21,1,11
MiProyectoSwing,logica,ManejadorCliente,186,335,37,39,35,97,32,24,2,16
MiProyectoSwing,logica,ManejadorAerolinea,70,325,17,29,18,98,11,29,0,17
MiProyectoSwing,logica,Categoria,0,35,0,4,0,14,0,7,0,5
MiProyectoSwing,logica,ItemPaquete,8,71,1,9,3,21,2,10,1,6
MiProyectoSwing,logica,TipoDoc,6,15,2,0,3,3,2,1,1,1
MiProyectoSwing,logica,Ciudad,12,126,4,10,2,38,4,21,0,18
MiProyectoSwing,logica,Fabrica,31,0,4,0,11,0,6,0,4,0
MiProyectoSwing,logica,Pasajero,11,15,0,0,3,6,3,3,3,3
MiProyectoSwing,logica,Reserva,38,71,3,1,7,21,6,10,4,10
MiProyectoSwing,logica,ManejadorCategoria,0,79,1,5,0,24,1,8,0,6
MiProyectoSwing,logica,TipoAsiento,0,15,0,0,0,3,0,1,0,1
MiProyectoSwing,logica,ManejadorRutaVuelo,56,267,15,25,15,78,13,21,2,12
MiProyectoSwing,logica,ManejadorCiudad,27,78,3,5,6,23,3,8,1,6
MiProyectoSwing,logica,ManejadorVuelo,61,214,8,16,17,57,8,21,2,15
MiProyectoSwing,Presentacion.gui.guiSesion,InicioSesion.new ComponentAdapter() {...},7,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,InicioSesion.new ActionListener() {...},350,0,48,0,75,0,26,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,ConsultaVuelo,271,0,20,0,64,0,19,0,9,0
MiProyectoSwing,Presentacion.gui.guiSesion,InicioSesion,124,0,0,0,30,0,4,0,4,0
MiProyectoSwing,Presentacion.gui.guiSesion,ReservaVuelo,500,0,28,0,107,0,23,0,9,0
MiProyectoSwing,Presentacion.gui.guiSesion,VerUsuarios,582,0,36,0,127,0,32,0,14,0
MiProyectoSwing,Presentacion.gui.guiSesion,AceptarRuta,308,0,20,0,72,0,19,0,9,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaPaquete,147,0,8,0,47,0,8,0,4,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaCiudad.new ActionListener() {...},53,0,4,0,13,0,4,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaCiudad.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AgregarRutaVuelo,309,0,26,0,89,0,23,0,10,0
MiProyectoSwing,Presentacion.gui.guiSesion,ConsultaPaquete,302,0,14,0,65,0,15,0,8,0
MiProyectoSwing,Presentacion.gui.guiSesion,ModificarDatosAereolinea,325,0,34,0,86,0,26,0,9,0
MiProyectoSwing,Presentacion.gui.guiSesion,CompraPaquete,272,0,28,0,73,0,22,0,8,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaAereolinea.new ActionListener() {...},193,0,24,0,39,0,14,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaVuelo.new ActionListener() {...},136,0,14,0,28,0,9,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaVuelo.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaCategoria,64,0,2,0,22,0,5,0,4,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaAereolinea,98,0,0,0,24,0,4,0,4,0
MiProyectoSwing,Presentacion.gui.guiSesion,NuevaRutaVuelo,409,0,30,0,103,0,22,0,7,0
MiProyectoSwing,Presentacion.gui.guiSesion,AceptarRuta.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,ConsultaRutaVuelo,637,0,38,0,107,0,25,0,6,0
MiProyectoSwing,Presentacion.gui.guiSesion,AceptarRuta.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AceptarRuta.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AceptarRuta.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AceptarRuta.new ActionListener() {...},10,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaAereolinea.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaAereolinea.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaAereolinea.new ActionListener() {...},16,0,2,0,5,0,3,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaCiudad,24,0,0,0,6,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,ReservaVuelo.new DocumentListener() {...},18,0,0,0,4,0,4,0,4,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaVuelo,138,0,12,0,32,0,10,0,4,0
MiProyectoSwing,Presentacion.gui.guiSesion,ReservaVuelo.new ActionListener() {...},126,0,10,0,29,0,7,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,InicioSesion.new ActionListener() {...},16,0,2,0,5,0,3,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,InicioSesion.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,ReservaVuelo.new ComponentAdapter() {...},3,0,0,0,1,0,1,0,1,0
MiProyectoSwing,Presentacion.gui.guiSesion,EligeUsuario,187,0,14,0,42,0,12,0,5,0
MiProyectoSwing,Presentacion.gui.guiSesion,InicioSesion.new ActionListener() {...},11,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,ModificarDatosCliente,558,0,68,0,139,0,45,0,11,0
MiProyectoSwing,Presentacion.gui.guiSesion,EligeUsuario.new WindowAdapter() {...},11,0,0,0,3,0,2,0,2,0
MiProyectoSwing,com.intellij.uiDesigner.core,AbstractLayout,388,0,36,0,83,0,38,0,20,0
MiProyectoSwing,com.intellij.uiDesigner.core,Spacer,12,0,0,0,3,0,3,0,3,0
MiProyectoSwing,com.intellij.uiDesigner.core,DimensionInfo,490,0,82,0,107,0,57,0,16,0
MiProyectoSwing,com.intellij.uiDesigner.core,HorizontalInfo,37,0,0,0,10,0,9,0,9,0
MiProyectoSwing,com.intellij.uiDesigner.core,SupportCode.TextWithMnemonic,59,0,10,0,11,0,7,0,2,0
MiProyectoSwing,com.intellij.uiDesigner.core,GridLayoutManager,2222,0,256,0,429,0,180,0,52,0
MiProyectoSwing,com.intellij.uiDesigner.core,SupportCode,87,0,10,0,22,0,8,0,3,0
MiProyectoSwing,com.intellij.uiDesigner.core,VerticalInfo,37,0,0,0,10,0,9,0,9,0
MiProyectoSwing,com.intellij.uiDesigner.core,GridConstraints,827,0,90,0,154,0,81,0,36,0
MiProyectoSwing,com.intellij.uiDesigner.core,Util,313,0,46,0,59,0,31,0,8,0
MiProyectoSwing,com.intellij.uiDesigner.core,LayoutState,97,0,6,0,21,0,9,0,6,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.15.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.new ActionListener() {...},41,0,0,0,10,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.11.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.2.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.6.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.16.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.12.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.1.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.5.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.9.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,Main,517,0,2,0,104,0,5,0,4,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.17.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui,IntentoDiseño.13.new WindowAdapter() {...},12,0,0,0,3,0,2,0,2,0
