GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
MiProyectoSwing,Presentacion.gui.guiSesion,InicioSesion.new ComponentAdapter() {...},7,0,0,0,3,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,InicioSesion.new ActionListener() {...},350,0,48,0,75,0,26,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,ConsultaVuelo,271,0,20,0,64,0,19,0,9,0
MiProyectoSwing,Presentacion.gui.guiSesion,InicioSesion,124,0,0,0,30,0,4,0,4,0
MiProyectoSwing,Presentacion.gui.guiSesion,ReservaVuelo,500,0,28,0,107,0,23,0,9,0
MiProyectoSwing,Presentacion.gui.guiSesion,VerUsuarios,582,0,36,0,127,0,32,0,14,0
MiProyectoSwing,Presentacion.gui.guiSesion,AceptarRuta,308,0,20,0,72,0,19,0,9,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaPaquete,147,0,8,0,47,0,8,0,4,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaCiudad.new ActionListener() {...},53,0,4,0,13,0,4,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaCiudad.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AgregarRutaVuelo,309,0,26,0,89,0,23,0,10,0
MiProyectoSwing,Presentacion.gui.guiSesion,ConsultaPaquete,302,0,14,0,65,0,15,0,8,0
MiProyectoSwing,Presentacion.gui.guiSesion,ModificarDatosAereolinea,325,0,34,0,86,0,26,0,9,0
MiProyectoSwing,Presentacion.gui.guiSesion,CompraPaquete,272,0,28,0,73,0,22,0,8,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaAereolinea.new ActionListener() {...},193,0,24,0,39,0,14,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaVuelo.new ActionListener() {...},136,0,14,0,28,0,9,0,2,0
MiProyectoSwing,Presentacion.gui.guiSesion,AltaVuelo.new ActionListener() {...},15,0,0,0,4,0,2,0,2,0
